step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
460,CASH_OUT,30259.63,C1000000027,104254.19,127651.46,C2000000027,67801.11,8664.18,0,0
314,PAYMENT,69354.46,C1000000028,136469.33,90700.8,C2000000028,173502.24,289477.12,0,0
22,CASH_OUT,901.19,C1000000029,63759.68,144032.21,C2000000029,145813.12,79253.81,0,0
253,PAYMENT,18871.26,C1000000030,145054.24,173530.49,C2000000030,161285.73,124158.62,0,0
561,CASH_OUT,68930.55,C1000000031,50450.41,155311.86,C2000000031,14186.75,125526.82,0,0
475,DEBIT,6598.06,C1000000032,22467.45,48332.47,C2000000032,274195.73,272026.67,0,0
59,TRANSFER,46856.32,C1000000033,109941.64,64079.85,C2000000033,286405.25,223139.89,0,0
511,DEBIT,66261.7,C1000000034,30223.74,76055.31,C2000000034,205537.29,186061.93,0,0
682,PAYMENT,76598.16,C1000000035,188096.98,40753.25,C2000000035,77483.29,35991.71,0,0
476,CASH_IN,45387.05,C1000000036,89.81,72247.25,C2000000036,236161.93,97028.98,0,0
700,DEBIT,63032.1,C1000000037,151139.22,47609.14,C2000000037,219253.95,147531.46,0,0
190,TRANSFER,53962.17,C1000000038,55894.64,199145.57,C2000000038,172377.09,34470.34,0,0
687,PAYMENT,5240.05,C1000000039,169217.37,156650.07,C2000000039,51071.85,171392.31,0,0
563,DEBIT,74283.04,C1000000040,12030.18,172003.41,C2000000040,60353.67,64302.27,0,0
567,CASH_OUT,17244.47,C1000000041,190600.12,184429.38,C2000000041,176821.48,247346.78,0,0
244,CASH_IN,3190.24,C1000000042,20278.98,133000.2,C2000000042,38647.44,248681.62,0,0
505,PAYMENT,45122.28,C1000000043,157576.55,35195.31,C2000000043,217178.89,179683.75,0,0
131,DEBIT,86565.1,C1000000044,103468.44,151705.21,C2000000044,63780.02,107850.49,0,0
485,PAYMENT,15091.44,C1000000045,86078.96,3122.29,C2000000045,273143.94,13366.55,0,0
647,CASH_OUT,1295.62,C1000000046,56031.16,22646.09,C2000000046,269917.54,188696.56,0,0
21,TRANSFER,11006.82,C1000000047,168273.91,5916.89,C2000000047,88081.16,235375.82,0,0
167,DEBIT,36372.27,C1000000048,39950.28,27089.02,C2000000048,25016.05,237119.72,0,0
274,PAYMENT,58021.39,C1000000049,144248.25,150400.85,C2000000049,183424.74,145340.84,0,0
388,PAYMENT,19309.28,C1000000050,89158.33,177096.11,C2000000050,134524.34,42127.22,1,0
601,PAYMENT,80198.38,C1000000051,199699.0,55768.06,C2000000051,43112.67,19444.19,0,0
316,TRANSFER,75332.18,C1000000052,122279.8,23825.44,C2000000052,159444.44,16719.03,0,0
14,PAYMENT,69589.4,C1000000053,20837.92,54591.94,C2000000053,297817.27,74843.28,0,0
242,CASH_IN,48752.11,C1000000054,83904.24,129422.75,C2000000054,20694.87,42445.38,0,0
346,CASH_IN,36528.04,C1000000055,13259.8,70040.61,C2000000055,79168.62,50660.12,1,0
565,PAYMENT,37564.91,C1000000056,57131.13,192229.2,C2000000056,161584.29,209697.84,0,0
340,CASH_IN,50312.02,C1000000057,68663.36,26195.76,C2000000057,238008.38,53852.17,0,0
92,DEBIT,7740.7,C1000000058,170635.32,198068.5,C2000000058,5628.34,207700.52,0,0
367,CASH_IN,68233.72,C1000000059,167597.5,2490.34,C2000000059,219828.0,105482.85,0,0
455,PAYMENT,35157.24,C1000000060,2311.44,90338.59,C2000000060,41965.06,232433.56,0,0
428,CASH_OUT,22483.63,C1000000061,106455.72,50362.35,C2000000061,249203.84,47716.28,0,0
509,DEBIT,27839.92,C1000000062,44708.75,113257.09,C2000000062,207652.81,7009.72,0,0
35,TRANSFER,18037.63,C1000000063,64018.62,19310.17,C2000000063,136953.41,26765.88,0,0
206,PAYMENT,90157.79,C1000000064,4330.26,175164.58,C2000000064,246474.98,289844.36,0,0
81,TRANSFER,16912.06,C1000000065,149949.17,27305.28,C2000000065,219914.61,161385.03,0,0
562,CASH_OUT,88293.78,C1000000066,190117.96,117477.87,C2000000066,227755.2,182109.23,0,0
388,TRANSFER,57228.62,C1000000067,43853.41,6669.37,C2000000067,87022.12,290101.74,0,0
2,PAYMENT,86746.42,C1000000068,68354.57,62198.42,C2000000068,185825.66,232801.79,0,0
390,PAYMENT,47411.68,C1000000069,41286.8,29944.58,C2000000069,42331.82,33795.71,0,0
566,CASH_OUT,92764.1,C1000000070,186009.73,195569.33,C2000000070,246258.23,126531.78,0,0
106,PAYMENT,21156.96,C1000000071,1871.19,2404.27,C2000000071,158022.64,246417.9,0,0
477,CASH_OUT,55473.63,C1000000072,116772.46,70479.07,C2000000072,247465.09,199498.07,0,0
703,CASH_OUT,12592.61,C1000000073,174152.79,60555.22,C2000000073,63347.06,64723.2,0,0
402,PAYMENT,44727.56,C1000000074,37261.43,131474.72,C2000000074,39102.45,241712.26,0,0
730,CASH_IN,56994.67,C1000000075,117999.06,11275.59,C2000000075,206690.63,167650.45,1,0
556,CASH_OUT,60571.47,C1000000076,10129.62,162123.55,C2000000076,17519.26,236495.25,0,0
162,PAYMENT,36559.22,C1000000077,162917.03,93304.76,C2000000077,73195.78,187939.51,0,0
202,CASH_IN,7642.8,C1000000078,54885.82,90554.51,C2000000078,272614.09,138862.15,0,0
270,CASH_OUT,65536.05,C1000000079,197750.68,45357.98,C2000000079,39827.39,218553.35,0,0
271,CASH_IN,48848.3,C1000000080,184401.92,98009.35,C2000000080,112666.77,259694.06,0,0
456,DEBIT,13696.52,C1000000081,146503.19,72778.69,C2000000081,283674.87,139669.59,0,0
462,DEBIT,93588.24,C1000000082,99368.53,49027.29,C2000000082,6000.96,8936.32,0,0
727,CASH_IN,95567.31,C1000000083,153317.82,33733.39,C2000000083,133594.53,177967.46,0,0
252,CASH_OUT,85662.06,C1000000084,26121.81,145667.11,C2000000084,235937.77,27100.96,0,0
702,PAYMENT,84388.39,C1000000085,62039.93,28408.59,C2000000085,272694.12,97357.2,0,0
296,TRANSFER,9876.14,C1000000086,5379.28,33596.4,C2000000086,220673.08,164934.57,0,0
725,PAYMENT,99342.08,C1000000087,129004.93,115414.27,C2000000087,266517.52,103581.79,0,0
720,TRANSFER,40044.06,C1000000088,161107.53,45215.5,C2000000088,10310.47,84279.41,0,0
338,TRANSFER,16320.48,C1000000089,189257.11,91875.29,C2000000089,29962.85,6033.4,0,0
53,CASH_OUT,81212.05,C1000000090,137301.44,110583.47,C2000000090,221317.97,80781.05,0,0
217,CASH_IN,22580.82,C1000000091,146418.25,54885.95,C2000000091,225998.48,115439.51,1,0
188,PAYMENT,52622.27,C1000000092,179091.16,68710.85,C2000000092,181581.43,87076.11,0,0
380,CASH_IN,12810.33,C1000000093,187275.61,42041.37,C2000000093,219082.95,188525.61,0,0
493,DEBIT,47469.83,C1000000094,98259.51,92084.9,C2000000094,257415.94,199743.22,0,0
41,CASH_OUT,55818.57,C1000000095,21957.48,198479.98,C2000000095,163644.75,233971.02,0,0
157,CASH_OUT,44597.94,C1000000096,93283.46,72542.38,C2000000096,284197.31,55771.51,0,0
15,DEBIT,6957.99,C1000000097,111214.77,130666.08,C2000000097,208271.3,185678.11,0,0
65,PAYMENT,48499.05,C1000000098,126308.95,127178.89,C2000000098,141594.63,129017.88,0,0
521,DEBIT,46899.59,C1000000099,197856.91,157296.37,C2000000099,126455.44,96864.93,0,0
344,PAYMENT,26169.41,C1000000100,183512.64,142383.69,C2000000100,225050.04,144832.4,0,0
129,TRANSFER,92160.94,C1000000101,79272.84,2355.95,C2000000101,189140.77,144388.35,0,0
648,CASH_OUT,41785.06,C1000000102,22690.74,61843.42,C2000000102,245233.01,191811.14,0,0
472,PAYMENT,86412.94,C1000000103,42958.32,174046.7,C2000000103,234295.88,167765.51,0,0
63,CASH_IN,10975.29,C1000000104,34759.92,107910.04,C2000000104,157260.81,189382.33,0,0
139,CASH_IN,31894.54,C1000000105,71202.55,20844.82,C2000000105,283710.54,294148.3,0,0
499,CASH_OUT,17641.32,C1000000106,175297.86,55227.38,C2000000106,211277.18,243139.54,0,0
593,DEBIT,40846.99,C1000000107,87593.7,56677.22,C2000000107,60251.88,87617.46,0,0
392,DEBIT,11172.55,C1000000108,113455.47,174635.47,C2000000108,185546.15,160045.97,0,0
675,PAYMENT,44109.07,C1000000109,35833.37,110680.25,C2000000109,60543.92,68808.3,0,0
419,DEBIT,35393.54,C1000000110,98569.66,121664.72,C2000000110,167654.79,155666.38,0,0
289,CASH_OUT,22339.27,C1000000111,174725.54,73412.94,C2000000111,236980.34,213624.71,0,0
379,PAYMENT,64221.52,C1000000112,154692.65,12062.08,C2000000112,243751.6,19731.25,0,0
490,TRANSFER,95091.64,C1000000113,16238.14,15049.66,C2000000113,195247.51,41227.31,0,0
231,DEBIT,20719.28,C1000000114,172414.45,84076.51,C2000000114,234991.85,2193.19,0,0
41,DEBIT,71181.97,C1000000115,54765.62,35498.78,C2000000115,141670.69,113600.3,1,0
28,PAYMENT,74240.67,C1000000116,133143.25,20852.51,C2000000116,165196.75,230194.58,0,0
135,CASH_IN,49817.07,C1000000117,29276.58,52448.71,C2000000117,263882.09,134854.76,0,0
201,DEBIT,89767.86,C1000000118,134928.87,148409.27,C2000000118,147924.2,171234.89,0,0
33,CASH_OUT,96639.34,C1000000119,7140.29,14603.66,C2000000119,105278.73,176961.2,0,0
48,DEBIT,36231.02,C1000000120,120128.94,89645.18,C2000000120,239097.77,26862.16,0,0
503,TRANSFER,65106.82,C1000000121,129188.03,165217.43,C2000000121,15142.11,52337.15,0,0
407,DEBIT,66224.64,C1000000122,48899.34,53584.96,C2000000122,287507.11,274564.27,0,0
574,CASH_IN,40369.52,C1000000123,187395.22,60374.84,C2000000123,102019.56,137613.31,0,0
728,DEBIT,31685.94,C1000000124,9194.48,176841.46,C2000000124,188884.85,125583.78,0,0
99,PAYMENT,93375.08,C1000000125,178341.87,130000.72,C2000000125,205636.58,225295.95,0,0
684,DEBIT,79000.26,C1000000126,76379.5,159542.42,C2000000126,41123.45,13557.96,0,0
726,CASH_IN,11455.31,C1000000127,142782.95,57840.84,C2000000127,246858.07,252234.4,0,0
547,PAYMENT,11997.21,C1000000128,130309.69,199355.9,C2000000128,171633.89,201130.6,0,0
739,CASH_OUT,92255.05,C1000000129,33649.24,28179.27,C2000000129,98378.59,43477.19,0,0
613,PAYMENT,8150.16,C1000000130,63799.86,192387.42,C2000000130,255205.76,19477.28,0,0
462,TRANSFER,68845.25,C1000000131,105934.7,180419.82,C2000000131,187524.11,866.55,0,0
643,PAYMENT,22683.56,C1000000132,169302.05,110378.93,C2000000132,235733.45,88245.84,0,0
5,CASH_OUT,3528.18,C1000000133,190972.02,117059.3,C2000000133,297692.93,97440.02,0,0
218,DEBIT,5973.16,C1000000134,4117.33,155009.58,C2000000134,39082.92,53042.14,0,0
503,PAYMENT,37358.48,C1000000135,70511.65,61356.42,C2000000135,224878.95,86127.06,0,0
398,PAYMENT,7768.07,C1000000136,133628.78,105493.96,C2000000136,227301.3,168611.34,0,0
393,PAYMENT,59667.95,C1000000137,105545.89,180475.16,C2000000137,262406.9,33857.79,0,0
207,PAYMENT,64728.98,C1000000138,188604.42,13649.81,C2000000138,122419.64,60341.72,0,0
15,CASH_OUT,37353.12,C1000000139,3393.89,181105.73,C2000000139,260895.39,168597.12,0,0
554,CASH_IN,74290.38,C1000000140,87547.88,145755.59,C2000000140,191964.97,211341.89,0,0
461,CASH_IN,49009.35,C1000000141,133760.77,153968.97,C2000000141,20631.65,279381.23,0,0
691,PAYMENT,43028.55,C1000000142,43516.74,12943.62,C2000000142,9455.03,153166.22,0,0
575,CASH_OUT,40704.74,C1000000143,145174.28,37551.33,C2000000143,144445.62,33967.27,0,0
743,CASH_OUT,43116.34,C1000000144,16245.73,185052.36,C2000000144,235749.62,177458.47,0,0
241,PAYMENT,96789.09,C1000000145,90207.71,24810.29,C2000000145,115269.46,298609.0,0,0
564,TRANSFER,68143.89,C1000000146,135246.99,126236.57,C2000000146,255549.65,264919.36,0,0
96,PAYMENT,31527.83,C1000000147,53351.43,156538.51,C2000000147,147636.6,234048.79,1,0
734,TRANSFER,73388.65,C1000000148,14769.28,46256.4,C2000000148,7886.54,220378.82,0,0
485,PAYMENT,33033.44,C1000000149,191404.32,139758.04,C2000000149,292099.52,226666.67,1,0
407,TRANSFER,12580.23,C1000000150,182764.61,13115.3,C2000000150,146883.53,27212.59,0,0
231,TRANSFER,47541.28,C1000000151,185273.98,99753.68,C2000000151,195040.79,156053.72,0,0
655,PAYMENT,75104.88,C1000000152,195700.48,66886.62,C2000000152,59786.76,206873.97,0,0
171,TRANSFER,37772.21,C1000000153,36939.61,129148.4,C2000000153,89199.2,21816.67,0,0
541,DEBIT,86918.72,C1000000154,31555.2,177800.97,C2000000154,145285.35,274427.31,0,0
36,CASH_IN,38701.4,C1000000155,6842.92,25098.18,C2000000155,256856.76,38306.3,1,0
525,CASH_OUT,34990.4,C1000000156,178364.56,90061.53,C2000000156,30586.27,26458.74,0,0
160,TRANSFER,99824.41,C1000000157,150552.57,84638.76,C2000000157,234101.91,37032.95,0,0
699,TRANSFER,48252.38,C1000000158,126652.48,64759.05,C2000000158,173805.24,126970.72,0,0
243,CASH_OUT,80524.07,C1000000159,185535.23,96033.35,C2000000159,149899.58,162952.73,0,0
86,TRANSFER,80500.76,C1000000160,115015.32,176145.7,C2000000160,262976.37,28421.69,0,0
578,CASH_OUT,92637.67,C1000000161,25946.15,194732.39,C2000000161,35436.04,235795.37,0,0
682,PAYMENT,8498.66,C1000000162,35372.89,568.58,C2000000162,297226.24,60048.28,0,0
557,DEBIT,27129.32,C1000000163,26436.79,147806.31,C2000000163,256390.03,168139.32,0,0
574,DEBIT,76777.13,C1000000164,61531.6,123016.24,C2000000164,97721.08,147336.9,0,0
646,CASH_IN,56264.52,C1000000165,75899.37,198902.43,C2000000165,135472.94,271690.67,0,0
28,TRANSFER,55965.9,C1000000166,159367.81,17986.28,C2000000166,7500.99,267991.05,0,0
620,CASH_IN,16629.87,C1000000167,38250.78,162269.26,C2000000167,158281.5,71523.63,0,0
556,PAYMENT,28122.49,C1000000168,145073.03,186785.64,C2000000168,164315.87,161527.53,0,0
340,DEBIT,52138.2,C1000000169,98245.7,182423.13,C2000000169,277972.72,295620.04,0,0
331,PAYMENT,27725.36,C1000000170,199931.98,112114.54,C2000000170,116377.7,99554.17,0,0
640,PAYMENT,21036.18,C1000000171,155316.49,65511.23,C2000000171,171185.39,22100.78,0,0
506,TRANSFER,8784.73,C1000000172,193790.6,127980.77,C2000000172,222185.2,215409.73,0,0
348,PAYMENT,15581.04,C1000000173,68470.3,61214.4,C2000000173,182554.93,150958.14,0,0
473,DEBIT,76889.09,C1000000174,24610.04,82453.85,C2000000174,46852.16,281889.87,0,0
231,CASH_IN,71880.73,C1000000175,101179.16,89145.0,C2000000175,51544.58,172559.94,0,0
190,DEBIT,4592.91,C1000000176,24847.89,60390.04,C2000000176,41501.85,153448.93,0,0
225,TRANSFER,20336.38,C1000000177,98490.34,68365.47,C2000000177,65318.69,274454.06,0,0
385,DEBIT,56049.93,C1000000178,53988.21,1462.62,C2000000178,98498.93,114115.05,0,0
377,CASH_OUT,32269.56,C1000000179,98209.44,59415.77,C2000000179,221900.22,179233.9,0,0
283,CASH_IN,82326.73,C1000000180,189927.24,94461.07,C2000000180,18277.74,253711.72,0,0
633,CASH_OUT,78501.08,C1000000181,57806.81,34601.47,C2000000181,246133.49,179276.03,0,0
628,CASH_OUT,89159.14,C1000000182,198686.81,161116.92,C2000000182,78738.72,89338.75,0,0
259,TRANSFER,56297.49,C1000000183,45865.89,107527.4,C2000000183,184027.11,167496.65,0,0
359,PAYMENT,35214.13,C1000000184,41621.68,158776.13,C2000000184,165830.51,129607.72,0,0
710,CASH_OUT,60610.41,C1000000185,108957.7,25620.69,C2000000185,46206.67,295414.11,0,0
456,DEBIT,8922.78,C1000000186,168408.99,164102.25,C2000000186,86189.15,15282.78,0,0
411,PAYMENT,968.51,C1000000187,149900.7,191652.59,C2000000187,88776.28,230390.52,0,0
649,DEBIT,1719.18,C1000000188,144707.39,70490.8,C2000000188,187149.1,7204.59,0,0
318,DEBIT,40760.22,C1000000189,56526.59,56790.48,C2000000189,236550.15,181174.38,0,0
677,PAYMENT,22815.48,C1000000190,4503.36,129366.31,C2000000190,298886.58,129280.98,0,0
225,PAYMENT,15742.2,C1000000191,32349.66,127182.82,C2000000191,28769.17,273133.14,0,0
234,DEBIT,61536.45,C1000000192,69894.66,22493.61,C2000000192,281600.04,161802.13,0,0
684,TRANSFER,99509.55,C1000000193,194336.75,185351.76,C2000000193,168457.83,248200.05,0,0
664,CASH_IN,17783.54,C1000000194,183955.49,95811.23,C2000000194,107030.34,201642.46,0,0
374,CASH_IN,54646.68,C1000000195,40128.92,152883.28,C2000000195,85372.43,134117.71,0,0
672,TRANSFER,11981.55,C1000000196,145124.5,71863.54,C2000000196,62712.15,101313.4,0,0
608,PAYMENT,93424.3,C1000000197,115803.37,52307.33,C2000000197,167122.39,35111.04,0,0
472,DEBIT,29182.6,C1000000198,9968.53,22254.38,C2000000198,283805.08,4055.72,0,0
233,CASH_IN,87835.2,C1000000199,74341.12,54903.74,C2000000199,54646.77,418.86,0,0
692,DEBIT,28314.81,C1000000200,97214.75,198686.23,C2000000200,130850.11,67771.48,0,0
113,TRANSFER,80607.19,C1000000201,133514.82,131592.04,C2000000201,61154.44,168276.48,0,0
497,DEBIT,20946.04,C1000000202,58981.02,160556.47,C2000000202,52689.11,292648.36,0,0
442,TRANSFER,29286.02,C1000000203,186763.73,191701.83,C2000000203,260022.56,211568.7,0,0
564,PAYMENT,19255.61,C1000000204,90375.81,15798.27,C2000000204,78588.76,21204.85,0,0
268,TRANSFER,26433.35,C1000000205,49705.92,32938.89,C2000000205,74391.55,193562.14,0,0
510,TRANSFER,83488.23,C1000000206,63285.62,185593.14,C2000000206,272937.69,145648.69,0,0
386,CASH_IN,63906.86,C1000000207,150377.09,112910.74,C2000000207,115812.09,190855.03,0,0
387,DEBIT,40593.91,C1000000208,128057.07,126969.84,C2000000208,2615.0,186957.57,0,0
113,CASH_IN,97152.39,C1000000209,148435.6,85526.86,C2000000209,216355.7,43183.49,0,0
613,CASH_OUT,46491.5,C1000000210,58468.37,162885.75,C2000000210,155103.6,275837.9,0,0
625,TRANSFER,96976.3,C1000000211,65369.72,103448.84,C2000000211,232239.42,166362.46,0,0
81,CASH_OUT,19666.73,C1000000212,79343.82,165225.89,C2000000212,171088.37,210228.39,0,0
699,CASH_IN,90464.8,C1000000213,37718.6,198437.32,C2000000213,105380.16,116123.63,0,0
113,DEBIT,1392.08,C1000000214,138208.91,129345.36,C2000000214,19969.29,36687.44,0,0
2,CASH_IN,54534.87,C1000000215,65869.9,105762.72,C2000000215,259780.99,207278.91,0,0
642,DEBIT,42311.01,C1000000216,65247.24,73031.57,C2000000216,62125.4,282746.62,0,0
220,DEBIT,52513.53,C1000000217,53872.99,38939.29,C2000000217,291404.4,174339.75,0,0
566,PAYMENT,55348.95,C1000000218,90565.56,131331.56,C2000000218,73750.58,59594.08,0,0
736,TRANSFER,38909.25,C1000000219,154395.22,12527.44,C2000000219,248110.68,186975.7,0,0
225,CASH_IN,99819.8,C1000000220,167121.74,191257.52,C2000000220,236624.46,128679.53,0,0
385,DEBIT,97650.95,C1000000221,160901.58,129511.04,C2000000221,138824.14,119711.47,0,0
403,CASH_IN,96174.92,C1000000222,124238.72,191872.55,C2000000222,120511.16,274051.43,0,0
638,CASH_IN,97908.71,C1000000223,56085.51,54454.9,C2000000223,210977.91,221124.55,0,0
130,DEBIT,79303.31,C1000000224,146971.04,189303.16,C2000000224,158565.75,152632.06,0,0
53,CASH_OUT,98859.16,C1000000225,7872.39,122425.03,C2000000225,189587.45,125250.42,0,0
684,TRANSFER,89237.1,C1000000226,159630.48,162052.79,C2000000226,141064.64,72878.31,0,0
730,TRANSFER,41599.1,C1000000227,156045.51,35784.66,C2000000227,167146.39,103039.13,0,0
672,PAYMENT,78479.86,C1000000228,134000.22,100022.07,C2000000228,56745.01,162184.98,0,0
710,PAYMENT,91207.66,C1000000229,19585.09,113792.07,C2000000229,16618.91,14502.64,0,0
416,PAYMENT,71263.48,C1000000230,199468.27,78570.88,C2000000230,106777.12,107255.38,0,0
247,TRANSFER,42284.01,C1000000231,151281.84,50646.55,C2000000231,139758.58,148226.12,0,0
439,CASH_OUT,6588.37,C1000000232,146961.37,180954.95,C2000000232,271808.88,182488.47,0,0
203,TRANSFER,80971.6,C1000000233,12801.57,17011.78,C2000000233,124181.85,222930.22,0,0
184,TRANSFER,95274.76,C1000000234,79741.03,30797.42,C2000000234,130175.63,4149.5,0,0
123,TRANSFER,36252.7,C1000000235,17234.6,64102.11,C2000000235,202449.42,88441.12,0,0
401,TRANSFER,15199.09,C1000000236,72207.4,183954.0,C2000000236,62035.86,78287.11,0,0
294,CASH_OUT,32657.12,C1000000237,114097.11,112842.07,C2000000237,261491.88,156383.87,0,0
280,PAYMENT,58266.41,C1000000238,175774.44,74634.74,C2000000238,128292.29,139803.9,0,0
610,CASH_IN,31699.73,C1000000239,56587.55,80535.64,C2000000239,279236.1,23970.22,0,0
198,PAYMENT,61065.77,C1000000240,124682.93,167555.52,C2000000240,81380.52,228405.44,0,0
511,PAYMENT,96685.55,C1000000241,32930.38,5355.91,C2000000241,139677.72,206181.32,0,0
144,CASH_IN,67076.74,C1000000242,70792.77,2267.81,C2000000242,233448.36,246343.27,0,0
609,TRANSFER,36272.31,C1000000243,189447.5,9216.94,C2000000243,166778.04,33310.43,0,0
201,CASH_OUT,93575.94,C1000000244,149528.18,93841.0,C2000000244,198373.65,151869.71,0,0
124,CASH_OUT,56567.87,C1000000245,109161.15,116249.88,C2000000245,84208.89,181116.62,0,0
187,PAYMENT,12845.96,C1000000246,50339.36,124893.76,C2000000246,98537.76,14681.89,0,0
326,CASH_IN,49903.11,C1000000247,75941.04,146227.42,C2000000247,152284.05,287824.72,0,0
464,DEBIT,65367.11,C1000000248,31338.67,37944.76,C2000000248,60743.95,238330.22,0,0
349,TRANSFER,83827.05,C1000000249,70693.44,52456.94,C2000000249,37891.85,73095.52,0,0
660,PAYMENT,93648.31,C1000000250,30126.57,48701.4,C2000000250,253140.72,188625.45,0,0
403,CASH_OUT,31748.44,C1000000251,159061.41,29834.42,C2000000251,232456.3,43012.97,0,0
346,CASH_IN,15559.68,C1000000252,16151.82,48879.12,C2000000252,279617.08,261963.11,0,0
511,CASH_IN,7392.13,C1000000253,37881.1,122730.53,C2000000253,175965.54,29502.4,0,0
147,PAYMENT,73838.08,C1000000254,138233.35,73282.32,C2000000254,126079.59,271228.34,0,0
148,DEBIT,79517.87,C1000000255,180503.34,153582.49,C2000000255,30906.3,248357.55,0,0
711,CASH_OUT,40943.22,C1000000256,192918.32,107283.76,C2000000256,255140.24,143467.86,0,0
489,PAYMENT,39598.58,C1000000257,167204.58,42407.83,C2000000257,136877.76,195779.82,0,0
640,DEBIT,95424.16,C1000000258,42294.36,93476.4,C2000000258,168340.15,73743.33,1,0
551,CASH_IN,91668.97,C1000000259,57142.26,118673.76,C2000000259,94057.0,115305.08,0,0
338,TRANSFER,23334.26,C1000000260,174150.47,173238.99,C2000000260,157161.88,65233.41,0,0
641,CASH_OUT,78082.96,C1000000261,177866.59,166743.52,C2000000261,234525.69,158285.28,0,0
473,CASH_OUT,62273.81,C1000000262,128130.63,85295.97,C2000000262,213677.93,95603.8,0,0
151,DEBIT,15430.73,C1000000263,62728.22,129535.16,C2000000263,296676.79,105464.2,0,0
415,PAYMENT,35683.54,C1000000264,44811.33,59560.96,C2000000264,148694.69,132829.55,0,0
298,CASH_IN,17755.52,C1000000265,170456.54,126600.66,C2000000265,158909.92,261777.63,0,0
611,DEBIT,29522.65,C1000000266,41051.0,182558.49,C2000000266,15817.81,164585.85,0,0
263,TRANSFER,61533.96,C1000000267,132360.87,124908.55,C2000000267,116814.84,241978.81,0,0
144,TRANSFER,37532.79,C1000000268,193590.67,60754.37,C2000000268,276631.3,254565.62,0,0
346,TRANSFER,39412.01,C1000000269,141058.28,128796.68,C2000000269,105142.86,73628.51,0,0
624,DEBIT,53969.33,C1000000270,51534.06,180550.93,C2000000270,229833.55,233306.86,0,0
572,CASH_IN,8731.54,C1000000271,56501.18,27409.39,C2000000271,293279.82,194598.67,0,0
2,CASH_OUT,73882.34,C1000000272,18578.96,96489.38,C2000000272,38054.58,152221.61,0,0
304,PAYMENT,40176.94,C1000000273,137247.5,64210.19,C2000000273,100197.92,26600.08,0,0
254,CASH_OUT,48044.9,C1000000274,103687.14,48293.49,C2000000274,142312.26,171701.51,0,0
652,CASH_IN,97430.23,C1000000275,41294.34,79241.8,C2000000275,71212.5,46614.29,0,0
453,CASH_OUT,34443.25,C1000000276,45533.66,78793.61,C2000000276,3730.91,244876.59,0,0
